"id","name","pubchem_id","kegg_id","source","type","function","mol_wt","ex_mass","mol_formula","xlogp","tparea","h_donor","h_acceptor","rote_bond_count","iupac","struct","sdf_file","mol_file","pdb_file","canonical","isomeric","drugpedia","reference"
"3505","asd","0","","","","","sad","","sdfsdfsd","","","","","","svgsdfd","","dkfhjksf\naslfjsfhgsj","dkfhjksf\naslfjsfhgsj","dkfhjksf\naslfjsfhgsj","","","","November19,2009 - 12:44PM Thu"
"3506","445436464","0","","","","","6436434","","644375758","","","","","","gfiytiutoio","","","","","","","","March5,2010 - 10:24AM Fri"
"3507","jbvzjvkvk","0","BdUmCCfMqWwGzGT","gEfHXjLgztkPpSXeT","whhUqIpcupXGIuNG","quKZjAQWhjcV","NJnZsOWNDyqeNZsaew","ElrusvZHIfjdGp","AeqgLgSkfuYVzNHWfqL","nBehrJNOpMOpkakdXGC","QdZYdhorPoQ","vAsyjtUVzl","aZFUYJsifc","LxwblkUs","TRDneLWRwvRffrum","","","","","vaTOrTMb","pkYECyVk","","March26,2010 - 10:19PM Fri"
"3508","","0","","","","","","","","","","","","","","","","","","","","","March26,2010 - 10:19PM Fri"
"3509","cvodoqy","0","ITmvuFURN","QySiQBPGlj","epxutJiSL","eGofIlWLEMWZhTP","OjgZWYmybE","EBrWtatFFwNf","NrvkrixMhStKd","ENnlVQCZdvHTFhz","kcfAEznwsSyF","dfbjpiyAfm","wKHHokCMSQ","vKapOYLqWf","VOZEujulYmyKvpN","","","","","TnAvXYMOG","ODKUYAPaMso","","March28,2010 - 7:18AM Sun"
"3510","","0","","","","","","","","","","","","","","","","","","","","","March28,2010 - 7:18AM Sun"
"3511","vvbjrikv","48462","39804","http://iyazkdlsmnfn.com/","QAfYnIqaGMO","vvbjrikv","EeddsBlK","sMpXzdZdDUVkXZvTgmr","daAwGccQMQcJW","18JOg5  <a href="http://t","New York","nJNFHERYhg","mYvTcRBGvb","vvbjrikv","aUJjVofalvMTkIwE","","","","","KysuwMgF","dlrSGLTOAcEnOM","","August1,2010 - 7:15PM Sun"
"3512","","0","","","","","","","","","","","","","","","","","","","","","August1,2010 - 7:15PM Sun"
"3513","trump taj mahal","0","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj ","trump taj ","trump taj ","trump taj mahal","","","","","trump taj mahal","trump taj mahal","","August3,2010 - 5:04PM Tue"
"3514","","0","","","","","","","","","","","","","","","","","","","","","August3,2010 - 5:04PM Tue"
"3515","trump taj mahal","0","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj ","trump taj ","trump taj ","trump taj mahal","","","","","trump taj mahal","trump taj mahal","","August31,2010 - 1:15AM Tue"
"3516","","0","","","","","","","","","","","","","","","","","","","","","August31,2010 - 1:15AM Tue"
"3517","benicar","0","benicar","benicar","benicar","benicar","benicar","benicar","benicar","benicar","benicar","benicar","benicar","benicar","benicar","","","","","benicar","benicar","","October7,2010 - 9:24AM Thu"
"3518","","0","","","","","","","","","","","","","","","","","","","","","October7,2010 - 9:24AM Thu"
"3519","trump taj mahal","0","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj mahal","trump taj ","trump taj ","trump taj ","trump taj mahal","","","","","trump taj mahal","trump taj mahal","","October19,2010 - 11:37PM Tue"
"3520","","0","","","","","","","","","","","","","","","","","","","","","October19,2010 - 11:37PM Tue"
"3521","dqzaafrkse","498543","598396","http://vsriykvvyutf.com/","XeKNDRqgGSwAzDMrZ","dqzaafrkse","NFolSZrPtsSoJMewSJ","xcdBwsJbqbGaurTaJ","eFxvjIvNWsCynStN","WyWeWl  <a href=\\"http://","New York","hFEGiHRFiI","naxwofVKjC","dqzaafrkse","OKYdjpDr","","","","","PWBGzLOJzPubOnrBI","qXmqQIDsBwgJE","","September6,2011 - 5:35AM Tue"
"3522","","0","","","","","","","","","","","","","","","","","","","","","September6,2011 - 5:35AM Tue"
"3523","inlkcuxl","519907","48894","http://zikfbgwoldlg.com/","laahKRyvHMc","inlkcuxl","AayRtCsXGIcHQvdiTa","hsGfsNKPiddQwR","TQbtbzvvTl","NtQg5i  <a href=\\"http://","New York","CPdyICsfuQ","NRfbsrHNn","inlkcuxl","XkozHKMUwhcHszEk","","","","","woMZTsDwIBWrXRu","RrNqfVkRqwjuuwfCuo","","September6,2011 - 11:20PM Tue"
"3524","","0","","","","","","","","","","","","","","","","","","","","","September6,2011 - 11:20PM Tue"
"3525","ihrwyqhvgr","568011","5033","http://ksuvwdgfqfbs.com/","aiiPOWfEFLPk","MuFDPBsvnDNoIQJ","nVhKvMcSqnM","LJOmgpuFDOvnMsmiylw","REkKjOcN","qAKuvwWqdXQPoKOFp","New York","KBcmKPyDkC","yEumNKGHvo","DdMyVOoemX","fewZowrSNTybUIZG","","","","","PqokWdrTyMUxYedzT","ITgHWUvxFlQvmcwmpme","","September22,2011 - 7:22PM Thu"
"3526","","0","","","","","","","","","","","","","","","","","","","","","September22,2011 - 7:22PM Thu"
